component_name,brand,price,color,type
AMD Ryzen 7 7800X3D,AMD Ryzen 7 7800X3D,339.0,Radeon,CPU
AMD Ryzen 5 7600X,AMD Ryzen 5 7600X,204.99,Radeon,CPU
AMD Ryzen 5 5600X,AMD Ryzen 5 5600X,144.31,,CPU
AMD Ryzen 5 7600,AMD Ryzen 5 7600,185.0,Radeon,CPU
Intel Core i9-14900K,Intel Core i9-14900K,544.99,Intel UHD Graphics 770,CPU
Intel Core i7-14700K,Intel Core i7-14700K,399.99,Intel UHD Graphics 770,CPU
Intel Core i5-12400F,Intel Core i5-12400F,128.0,,CPU
AMD Ryzen 5 3600,AMD Ryzen 5 3600,84.0,,CPU
AMD Ryzen 7 7700X,AMD Ryzen 7 7700X,288.81,Radeon,CPU
AMD Ryzen 9 7950X3D,AMD Ryzen 9 7950X3D,564.0,Radeon,CPU
AMD Ryzen 5 5600,AMD Ryzen 5 5600,129.99,,CPU
AMD Ryzen 7 5800X,AMD Ryzen 7 5800X,202.0,,CPU
Intel Core i5-12600KF,Intel Core i5-12600KF,159.13,,CPU
AMD Ryzen 5 5500,AMD Ryzen 5 5500,91.53,,CPU
Intel Core i7-12700K,Intel Core i7-12700K,248.0,Intel UHD Graphics 770,CPU
AMD Ryzen 7 5700X,AMD Ryzen 7 5700X,171.89,,CPU
Intel Core i7-13700K,Intel Core i7-13700K,359.0,Intel UHD Graphics 770,CPU
Intel Core i5-12600K,Intel Core i5-12600K,175.74,Intel UHD Graphics 770,CPU
AMD Ryzen 7 5800X3D,AMD Ryzen 7 5800X3D,261.18,,CPU
AMD Ryzen 9 7900X,AMD Ryzen 9 7900X,396.58,Radeon,CPU
AMD Ryzen 5 5600G,AMD Ryzen 5 5600G,134.48,Radeon Vega 7,CPU
AMD Ryzen 9 5900X,AMD Ryzen 9 5900X,277.99,,CPU
Intel Core i5-13600K,Intel Core i5-13600K,283.99,Intel UHD Graphics 770,CPU
Intel Core i9-14900KS,Intel Core i9-14900KS,652.95,Intel UHD Graphics 770,CPU
Intel Core i7-12700KF,Intel Core i7-12700KF,223.95,,CPU
Intel Core i3-12100F,Intel Core i3-12100F,94.98,,CPU
Intel Core i5-13600KF,Intel Core i5-13600KF,249.99,,CPU
AMD Ryzen 7 7700,AMD Ryzen 7 7700,281.63,Radeon,CPU
AMD Threadripper 3990X,AMD Threadripper 3990X,4255.0,,CPU
Intel Core i9-13900K,Intel Core i9-13900K,486.59,Intel UHD Graphics 770,CPU
Intel Core i7-14700KF,Intel Core i7-14700KF,375.74,,CPU
Intel Core i5-13400F,Intel Core i5-13400F,185.99,,CPU
AMD Ryzen 9 7900X3D,AMD Ryzen 9 7900X3D,403.99,Radeon,CPU
Intel Core i9-12900K,Intel Core i9-12900K,334.0,Intel UHD Graphics 770,CPU
AMD Ryzen 5 4500,AMD Ryzen 5 4500,72.77,,CPU
AMD Ryzen 9 7950X,AMD Ryzen 9 7950X,510.38,Radeon,CPU
Intel Core i5-14600K,Intel Core i5-14600K,295.99,Intel UHD Graphics 770,CPU
AMD Ryzen 7 3700X,AMD Ryzen 7 3700X,205.84,,CPU
Intel Core i7-13700KF,Intel Core i7-13700KF,303.49,,CPU
AMD Ryzen 7 5700G,AMD Ryzen 7 5700G,174.4,Radeon Vega 8,CPU
AMD Ryzen 7 5700X3D,AMD Ryzen 7 5700X3D,214.99,,CPU
AMD Ryzen 5 7500F,AMD Ryzen 5 7500F,,,CPU
AMD Ryzen 9 5950X,AMD Ryzen 9 5950X,363.0,,CPU
Intel Core i5-14600KF,Intel Core i5-14600KF,293.99,,CPU
AMD Ryzen 5 8500G,AMD Ryzen 5 8500G,179.0,Radeon 740M,CPU
Intel Core i9-14900KF,Intel Core i9-14900KF,509.14,,CPU
Intel Core i5-10400F,Intel Core i5-10400F,97.99,,CPU
AMD Ryzen 5 4600G,AMD Ryzen 5 4600G,95.16,Radeon Vega 7,CPU
AMD Ryzen 3 4100,AMD Ryzen 3 4100,68.98,,CPU
Intel Core i5-14400F,Intel Core i5-14400F,199.99,,CPU
AMD Ryzen 9 7900,AMD Ryzen 9 7900,369.0,Radeon,CPU
AMD Ryzen 7 8700G,AMD Ryzen 7 8700G,329.0,Radeon 780M,CPU
Intel Core i5-14500,Intel Core i5-14500,239.99,Intel UHD Graphics 770,CPU
AMD Ryzen 5 2600,AMD Ryzen 5 2600,150.0,,CPU
Intel Core i5-12400,Intel Core i5-12400,156.76,Intel UHD Graphics 730,CPU
Intel Core i7-9700K,Intel Core i7-9700K,260.0,Intel UHD Graphics 630,CPU
AMD Ryzen 3 3200G,AMD Ryzen 3 3200G,81.39,Radeon Vega 8,CPU
Intel Core i7-8700K,Intel Core i7-8700K,193.0,Intel UHD Graphics 630,CPU
AMD Ryzen 5 8600G,AMD Ryzen 5 8600G,228.99,Radeon 760M,CPU
